Rank,Player,TOTAL,Play -in (4 pts) ,64 Teams (2 pts),32 Teams (4 pts), Sweet 16 (8pts),Elite 8 (16 pts), 'Final 4 (32 Pts), National Champion (64 pts),Wins, Loses,Winning %
1,S,12,12,0,0,0,0,0,0,3,1,0.75
2,Pac Man,8,8,0,0,0,0,0,0,2,2,0.5
2,S. Ho,8,8,0,0,0,0,0,0,2,2,0.5
2,Sheaff-net,8,8,0,0,0,0,0,0,2,2,0.5
2,Stanlee,8,8,0,0,0,0,0,0,2,2,0.5
2,The Commish,8,8,0,0,0,0,0,0,2,2,0.5
7,McGonegal,4,4,0,0,0,0,0,0,1,2,0.333
7,Tatum,4,4,0,0,0,0,0,0,1,3,0.25
7,"Wallce, Bruce",4,4,0,0,0,0,0,0,1,3,0.25
10,Crystal,0,0,0,0,0,0,0,0,0,0,0
